Feature,Coefficient,Odds Ratio,Variable,Label,Concept,Group
B25039_001E,0.29227526413295624,1.339471675407186,B25039_001E,Estimate!!Median year householder moved into unit --!!Total,MEDIAN YEAR HOUSEHOLDER MOVED INTO UNIT BY TENURE,B25039
B02001_003E,0.14320421913833936,1.153965439432035,B02001_003E,Estimate!!Total!!Black or African American alone,RACE,B02001
B25034_011E,0.13496040737182027,1.144491470029036,B25034_011E,Estimate!!Total!!Built 1939 or earlier,YEAR STRUCTURE BUILT,B25034
B11001_006E,0.13270319583231643,1.141911024077827,B11001_006E,"Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE),B11001
B25070_008E,0.13177752592425498,1.1408544804859022,B25070_008E,Estimate!!Total!!35.0 to 39.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,B25070
B25074_010E,0.11908168543121067,1.1264619300587904,B25074_010E,"Estimate!!Total!!Less than $10,000!!Not computed",HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,B25074
B25032_005E,0.10945981029380648,1.1156752313743532,B25032_005E,Estimate!!Total!!Owner-occupied housing units!!2,TENURE BY UNITS IN STRUCTURE,B25032
B25092_001E,0.10451643524039489,1.1101736396869275,B25092_001E,Estimate!!Median selected monthly owner costs as a percentage of household income in the past 12 months --!!Total,MEDIAN SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,B25092
B16004_006E,0.1011876518695782,1.1064842561225232,B16004_006E,"Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English ""well""",AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,B16004
B19057_002E,0.09373127096360864,1.0982645706780902,B19057_002E,Estimate!!Total!!With public assistance income,PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,B19057
B25075_005E,0.0833555984829446,1.0869282498719157,B25075_005E,"Estimate!!Total!!$20,000 to $24,999",VALUE,B25075
B15002_009E,0.08202098189120932,1.0854785849841955,B15002_009E,Estimate!!Total!!Male!!11th grade,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15002
B25081_003E,0.07852458133804963,1.0816899442216619,B25081_003E,"Estimate!!Total!!Housing units with a mortgage, contract to purchase, or similar debt!!With either a second mortgage or home equity loan, but not both",MORTGAGE STATUS,B25081
B15002_007E,0.06876073743229594,1.0711798852353958,B15002_007E,Estimate!!Total!!Male!!9th grade,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15002
B19001_007E,0.06679554219062753,1.0690768747119148,B19001_007E,"Estimate!!Total!!$30,000 to $34,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),B19001
B19001_004E,0.06654799288958953,1.0688122582329875,B19001_004E,"Estimate!!Total!!$15,000 to $19,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),B19001
B25054_001E,0.06464042505461043,1.0667753697167144,B25054_001E,Estimate!!Total,KITCHEN FACILITIES BY MEALS INCLUDED IN RENT,B25054
B25055_001E,0.06464042505461043,1.0667753697167144,B25055_001E,Estimate!!Total,AGE OF HOUSEHOLDER BY MEALS INCLUDED IN RENT,B25055
B16004_007E,0.06273270767590525,1.064742203774355,B16004_007E,"Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English ""not well""",AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,B16004
B08303_006E,0.06216389174197319,1.0641367336601677,B08303_006E,Estimate!!Total!!20 to 24 minutes,TRAVEL TIME TO WORK,B08303
B25056_001E,0.06203327308524479,1.063997746626789,B25056_001E,Estimate!!Total,CONTRACT RENT,B25056
B25068_001E,0.06203327308524479,1.063997746626789,B25068_001E,Estimate!!Total,BEDROOMS BY GROSS RENT,B25068
B25074_001E,0.06203327308524479,1.063997746626789,B25074_001E,Estimate!!Total,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,B25074
B25063_001E,0.06203327308524479,1.063997746626789,B25063_001E,Estimate!!Total,GROSS RENT,B25063
B25070_001E,0.06203327308524479,1.063997746626789,B25070_001E,Estimate!!Total,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,B25070
